request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_78,0,not_affordable,not_recommended,none,,none,
request_79,276.742833333333333333333330,not_affordable,not_recommended,none,,none,
request_80,0,not_affordable,not_recommended,none,,none,
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,
request_82,432.84735,affordable_later,wait,2025-02-15:1405.2,2025-02-15,none,
request_83,0,not_affordable,not_recommended,none,,none,
request_84,25446.64550,affordable_later,wait,2026-06-15:95400,2026-06-15,none,
request_85,426432.313733333333333333336,not_affordable,not_recommended,none,,none,
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,
request_87,0,not_affordable,not_recommended,none,,none,
request_88,8103.8295,not_affordable,not_recommended,none,,none,
request_89,8961952.10283333333333333330,not_affordable,not_recommended,none,2026-01-15,none,
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,
request_91,551.858083333333333333333337,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,
request_93,1627.882583333333333333333331,not_affordable,not_recommended,none,2026-05-15,none,
request_94,107.68250,not_affordable,not_recommended,none,,none,
request_95,46302.3433333333333333333336,not_affordable,not_recommended,none,,none,
request_96,73312.9998333333333333333337,not_affordable,not_recommended,none,2026-03-15,none,
request_97,1051.41225,not_affordable,not_recommended,none,2024-04-15,none,
request_98,7509.0636,affordable_later,wait,2025-10-15:27148,2025-10-15,none,
request_99,17960.2800,not_affordable,not_recommended,none,2026-07-15,none,
request_100,27169.49466666666666666666664,not_affordable,not_recommended,none,2024-07-15,none,
request_101,117872.9123333333333333333337,not_affordable,not_recommended,none,2025-12-15,none,
request_102,1328.98750,not_affordable,not_recommended,none,,none,
request_103,9777.9673666666666666666669,not_affordable,not_recommended,none,,none,
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,
request_105,13875.15626666666666666666881,not_affordable,not_recommended,none,,none,
request_106,0,not_affordable,not_recommended,none,,none,
request_107,0,not_affordable,not_recommended,none,,none,
request_108,2843.7365,not_affordable,not_recommended,none,,none,
request_109,522.57650,not_affordable,not_recommended,none,2024-05-15,none,
request_110,16887.12750,not_affordable,not_recommended,none,,none,
request_111,16476260.8750,not_affordable,not_recommended,none,,none,
request_112,0,not_affordable,not_recommended,none,,none,
request_113,21228.0306666666666666666670,affordable_later,wait,2026-10-15:36500,2026-10-15,none,
request_114,0,not_affordable,not_recommended,none,,none,
request_115,9376.2980,not_affordable,not_recommended,none,,none,
request_116,11368.62795,not_affordable,not_recommended,none,,none,
request_117,878.153750000000000000000003,not_affordable,not_recommended,none,2026-07-15,none,
request_118,658.133266666666666666666669,not_affordable,not_recommended,none,2025-02-15,none,
request_119,0,not_affordable,not_recommended,none,,none,
request_120,6908833.90066666666666666664,not_affordable,not_recommended,none,2026-06-15,none,
request_121,269.860000000000000000000024,not_affordable,not_recommended,none,2024-05-15,none,
request_122,20558000,not_affordable,not_recommended,none,2025-08-05,none,
request_123,0,not_affordable,not_recommended,none,,none,
request_124,1357.36750,not_affordable,not_recommended,none,2024-08-15,none,
request_125,6043.19320,not_affordable,not_recommended,none,2025-11-15,none,
request_126,12896.6799999999999999999970,not_affordable,not_recommended,none,,none,
request_127,0,not_affordable,not_recommended,none,,none,
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,
request_129,0,not_affordable,not_recommended,none,,none,
request_130,446.4292,affordable_later,wait,2025-02-15:1978.8,2025-02-15,none,
request_131,1385.623416666666666666666663,not_affordable,not_recommended,none,2025-05-15,none,
request_132,0,not_affordable,not_recommended,none,,none,
request_133,0,not_affordable,not_recommended,none,,none,
request_134,0,not_affordable,not_recommended,none,,none,
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,
request_136,555.571333333333333333333337,not_affordable,not_recommended,none,2024-06-15,none,
request_137,24130.81524999999999999999979,affordable_later,wait,2026-01-15:80100,2026-01-15,none,
request_138,798.06745,not_affordable,not_recommended,none,2026-04-15,none,
request_139,1412.4800,not_affordable,not_recommended,none,2024-11-15,none,
request_140,0,not_affordable,not_recommended,none,,none,
request_141,0,not_affordable,not_recommended,none,,none,
request_142,580.952500000000000000000030,not_affordable,not_recommended,none,,none,
request_143,0,not_affordable,not_recommended,none,,none,
request_144,0,not_affordable,not_recommended,none,,none,
request_145,26747.9280,not_affordable,not_recommended,none,2024-05-15,none,
request_146,12259.7589166666666666666663,not_affordable,not_recommended,none,,none,
request_147,0,not_affordable,not_recommended,none,,none,
request_148,0,not_affordable,not_recommended,none,,none,
request_149,21052.15016666666666666666670,not_affordable,not_recommended,none,2026-01-15,none,
request_150,0,not_affordable,not_recommended,none,,none,
request_151,0,not_affordable,not_recommended,none,,none,
request_152,10946.72894999999999999999997,not_affordable,not_recommended,none,2025-04-15,none,
request_153,88.957799999999999999999977,not_affordable,not_recommended,none,,none,
request_154,1625.8,not_affordable,not_recommended,none,2024-12-04,none,
request_155,97528.9460,not_affordable,not_recommended,none,,none,
request_156,7824.59391666666666666666663,affordable_later,wait,2026-06-15:43076,2026-06-15,none,
request_157,4339990.89694999999999999997,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,
request_158,194990.3450000000000000000030,not_affordable,not_recommended,none,,none,
request_159,0,not_affordable,not_recommended,none,,none,
request_160,0,not_affordable,not_recommended,none,,none,
request_161,6015753.2217,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,
request_162,2175086.6370,not_affordable,not_recommended,none,,none,
request_163,10599401.00191666666666666669,not_affordable,not_recommended,none,2024-10-15,none,
request_164,27018000,not_affordable,not_recommended,none,2025-02-04,none,
request_165,65730.5800000000000000000030,not_affordable,not_recommended,none,,none,
request_166,2547.737499999999999999999970,not_affordable,not_recommended,none,,none,
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,
request_168,0,not_affordable,not_recommended,none,,none,
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,
request_170,13549308.84664999999999999977,not_affordable,not_recommended,none,,none,
request_171,42.4004166666666666666666663,not_affordable,not_recommended,none,,none,
request_172,8984.03459999999999999999997,not_affordable,not_recommended,none,2024-06-15,none,
request_173,59883.9170166666666666666669,not_affordable,not_recommended,none,2026-01-15,none,
request_174,1040.772500000000000000000030,not_affordable,not_recommended,none,,none,
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,
request_176,4.18250,not_affordable,not_recommended,none,,none,
request_177,0,not_affordable,not_recommended,none,,none,
request_178,2492.131499999999999999999970,not_affordable,not_recommended,none,,none,
request_179,0,not_affordable,not_recommended,none,,none,
request_180,0,not_affordable,not_recommended,none,,none,
request_181,206.207233333333333333333337,not_affordable,not_recommended,none,,none,
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,
request_183,23596760.2662,not_affordable,not_recommended,none,2026-05-15,none,
request_184,4905.5148333333333333333330,not_affordable,not_recommended,none,,none,
request_185,324.440533333333333333333336,affordable_later,wait,2026-01-15:1257.3,2026-01-15,none,
request_186,0,not_affordable,not_recommended,none,,none,
request_187,0,not_affordable,not_recommended,none,,none,
request_188,120.616933333333333333333331,not_affordable,not_recommended,none,,none,
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,
request_190,547.723866666666666666666664,affordable_later,wait,2025-02-15:2557.5,2025-02-15,none,
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,
request_192,137.115249999999999999999997,not_affordable,not_recommended,none,,none,
request_193,67.890466666666666666666669,not_affordable,not_recommended,none,2024-05-15,none,
request_194,37118.2446666666666666666670,affordable_later,wait,2025-08-15:132800,2025-08-15,none,
request_195,51.1139999999999999999999729,not_affordable,not_recommended,none,,none,
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,
request_197,0,not_affordable,not_recommended,none,,none,
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,
request_199,23674000,not_affordable,not_recommended,none,2024-09-04,none,
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,
request_201,22904932.2000,not_affordable,not_recommended,none,,none,
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,
request_203,938.570499999999999999999970,not_affordable,not_recommended,none,,none,
request_204,0,not_affordable,not_recommended,none,,none,
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,
request_206,1404.7,not_affordable,not_recommended,none,2025-08-03,none,
request_207,4927.66599999999999999999997,affordable_later,wait,2026-07-15:11830,2026-07-15,none,
request_208,0,not_affordable,not_recommended,none,,none,
request_209,1345.7400,not_affordable,not_recommended,none,,none,
request_210,897.378666666666666666666664,not_affordable,not_recommended,none,2026-04-15,none,
request_211,318.25925,affordable_later,wait,2024-11-15:1788.6,2024-11-15,none,
request_212,5226686.37335,not_affordable,not_recommended,none,,none,
request_213,2311.842000000000000000000105,not_affordable,not_recommended,none,,none,
request_214,46897.7866666666666666666670,not_affordable,not_recommended,none,2024-12-15,none,
request_215,27056.7300,not_affordable,not_recommended,none,,none,
request_216,489.303333333333333333333337,affordable_later,wait,2026-09-15:3332.4,2026-09-15,none,
request_217,18995.33879999999999999999997,not_affordable,not_recommended,none,2024-05-15,none,
request_218,25143158.7572,not_affordable,not_recommended,none,2025-09-15,none,
request_219,0,not_affordable,not_recommended,none,,none,
request_220,82.524666666666666666666664,not_affordable,not_recommended,none,,none,
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,
request_222,31843.52250000000000000000114,not_affordable,not_recommended,none,,none,
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,
request_224,10327000,not_affordable,not_recommended,none,2025-02-04,none,
request_225,9663131.472,not_affordable,not_recommended,none,2026-09-15,none,
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,
request_227,7487.45575,not_affordable,not_recommended,none,,none,
request_228,0,not_affordable,not_recommended,none,,none,
request_229,487.107333333333333333333330,not_affordable,not_recommended,none,2024-05-15,none,
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,
request_231,1224.75416666666666666666690,not_affordable,not_recommended,none,,none,
request_232,0,not_affordable,not_recommended,none,,none,
request_233,0,not_affordable,not_recommended,none,,none,
request_234,180.5691666666666666666666679,affordable_later,wait,2026-09-15:1213.3,2026-09-15,none,
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,
request_236,3030523.75475,not_affordable,not_recommended,none,,none,
request_237,20626772.84750000000000000030,not_affordable,not_recommended,none,,none,
request_238,663.6,not_affordable,not_recommended,none,2024-12-07,none,
request_239,0,not_affordable,not_recommended,none,,none,
request_240,0,not_affordable,not_recommended,none,,none,
request_241,21052000,not_affordable,not_recommended,none,2024-03-03,none,
request_242,0,not_affordable,not_recommended,none,,none,
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,
request_245,27558.4908,affordable_later,wait,2026-01-15:128500,2026-01-15,none,
request_246,64086,not_affordable,not_recommended,none,2026-04-03,none,
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,
request_248,370.7686,not_affordable,not_recommended,none,,none,
request_249,0,not_affordable,not_recommended,none,,none,
request_250,0,not_affordable,not_recommended,none,,none,
request_251,81.114999999999999999999970,not_affordable,not_recommended,none,,none,
request_252,3990425.88024999999999999997,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,
request_253,1420.70935,not_affordable,not_recommended,none,2024-05-15,none,
request_254,607.971666666666666666666670,affordable_later,wait,2025-10-15:3535.2,2025-10-15,none,
request_255,1174387.19950000000000000030,not_affordable,not_recommended,none,,none,
request_256,0,not_affordable,not_recommended,none,,none,
request_257,369.045949999999999999999997,not_affordable,not_recommended,none,,none,
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,
request_259,235.3158333333333333333333321,affordable_later,wait,2024-11-15:935,2024-11-15,none,
request_260,7730583.8628,not_affordable,not_recommended,none,,none,
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,
request_263,6502.8676,not_affordable,not_recommended,none,,none,
request_264,11432.2250,not_affordable,not_recommended,none,,none,
request_265,0,not_affordable,not_recommended,none,,none,
request_266,297.077600000000000000000024,not_affordable,not_recommended,none,2025-10-15,none,
request_267,1647.975949999999999999999997,not_affordable,not_recommended,none,2026-02-15,none,
request_268,880.620666666666666666666669,not_affordable,not_recommended,none,,none,
request_269,9262.36616666666666666666670,affordable_later,wait,2025-12-15:15490,2025-12-15,none,
request_270,159.6440,not_affordable,not_recommended,none,,none,
request_271,17230.58525,affordable_later,wait,2024-11-15:91300,2024-11-15,none,
request_272,5257819.31749999999999999997,not_affordable,not_recommended,none,2025-03-15,none,
request_273,9146229.57608333333333333331,not_affordable,not_recommended,none,2026-04-15,none,
request_274,2250.998333333333333333333330,not_affordable,not_recommended,none,2025-01-15,none,
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,
